id;name;host_id;host_name;neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
23501;Monkey Retreat Manhattan;63318;Meka;Manhattan;Washington Heights;Private room;65;2;68;01/11/2012;0.60;1;312
23686;2000 SF 3br 2bath West Village private  townhouse;93790;Ann;Manhattan;West Village;Entire home/apt;500;4;46;18/05/2019;0.55;2;243
24143;Williamsburg—Steps To Subway, Private Bath&Balcony;97219;Seth;Brooklyn;Williamsburg;Private room;101;3;335;29/05/2019;3.02;1;152
24285;Beautiful Duplex Apartment;97797;Brenda;Brooklyn;Park Slope;Entire home/apt;220;30;88;02/11/2018;0.79;1;9
25235;Large 2 Bedroom Great for Groups!;87773;Shelly;Brooklyn;Bedford-Stuyvesant;Entire home/apt;125;90;162;28/06/2019;1.46;2;137
25406;Modern Brooklyn Apt., August sublet;105538;Erik;Brooklyn;Williamsburg;Entire home/apt;80;30;29;26/05/2018;0.40;1;222
25696;1,800 sq foot in luxury building;107628;Dena;Manhattan;Harlem;Private room;100;2;170;23/06/2019;1.61;1;346
26012;Sunny 2-story Brooklyn townhouse w deck and garden;109589;Jessica;Brooklyn;Gowanus;Entire home/apt;200;30;19;17/03/2017;0.20;1;208
26362;Times Square, Safe, Clean and Cozy!;59734;Luiz;Manhattan;Hell's Kitchen;Private room;59;2;334;16/06/2019;3.00;2;279
26520;Cozy Room #3, Landmark Home 1 Block to PRATT;51038;Erica;Brooklyn;Clinton Hill;Private room;125;2;19;02/06/2019;0.20;6;250
26559;Beautiful Apartment East Village;112793;Sally;Manhattan;East Village;Entire home/apt;140;7;12;11/12/2017;0.13;1;164
26785;Park Slope Green Guest House;42273;Dani;Brooklyn;South Slope;Entire home/apt;120;30;467;30/12/2018;4.22;2;192
26933;2 BR / 2 Bath Duplex Apt with patio! East Village;72062;Bruce;Manhattan;East Village;Entire home/apt;350;2;7;09/08/2017;0.06;4;298
26954;NYC fabulous views Manhattan's eye;115157;Nimo;Manhattan;Kips Bay;Entire home/apt;199;5;38;02/12/2015;0.38;1;260
26969;2 story family home in Williamsburg;115307;Alexandra;Brooklyn;Williamsburg;Entire home/apt;325;3;324;23/06/2019;3.01;1;107
27006;Comfortable UWS 2-BD Family-Friendly Brownstone;115560;Stacy;Manhattan;Upper West Side;Entire home/apt;235;6;27;27/04/2019;0.27;1;199
27385;Great Large 1 BR apt  in East Village!;72062;Bruce;Manhattan;East Village;Entire home/apt;225;1;115;07/06/2019;1.05;4;299
27531;Eveland Private Bed & Living Room w/ Own Entrance;118971;Evelyn;Brooklyn;South Slope;Private room;99;2;354;20/05/2019;3.20;3;20
27644;Sugar Hill Rest Stop ;119510;Emma;Manhattan;Harlem;Entire home/apt;170;2;195;01/07/2019;2.03;1;318
27659;3 Story Town House in Park Slope;119588;Vero;Brooklyn;South Slope;Entire home/apt;400;2;16;30/12/2018;0.24;2;216
27759;apartment next to Central park;119900;Sylvie;Manhattan;Upper West Side;Entire home/apt;170;7;13;26/06/2019;0.12;1;224
27883;East Village Sanctuary;120223;Jen;Manhattan;East Village;Entire home/apt;100;4;25;10/12/2011;0.23;1;0
28321;Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.;65091;Kay;Brooklyn;Prospect-Lefferts Gardens;Private room;75;2;9;05/10/2018;0.08;1;324
28396;Modern Apt with Spectacular Views;6197784;Jo;Brooklyn;Williamsburg;Private room;90;1;9;18/09/2011;0.08;1;245
28907;Garden studio in the Upper East Sid;124352;Lisa;Manhattan;Upper East Side;Entire home/apt;150;5;21;15/08/2017;0.19;1;189
29012;Secluded Master Bedroom in Beautiful Huge Apt;124797;Fernando And Lenin;Manhattan;Washington Heights;Private room;85;15;36;17/08/2017;0.33;1;307
29013;B & B Room 1;35935;Angela;Brooklyn;Bedford-Stuyvesant;Private room;70;3;63;14/05/2019;0.58;2;310
29455;ACCOMMODATIONS GALORE #1;126607;Laurine;Manhattan;Harlem;Entire home/apt;120;3;155;20/06/2019;1.42;3;213
29628;Sunny Room in New Condo;127608;Chris;Brooklyn;Clinton Hill;Private room;89;3;260;03/07/2019;2.35;1;278
29683;Stylish & Sleek Apartment Near SoHo!;125857;Uli;Manhattan;East Village;Entire home/apt;185;5;73;25/06/2019;0.66;1;209
30031;NYC artists’ loft with roof deck;129352;Sol;Brooklyn;Greenpoint;Private room;50;3;193;20/05/2019;1.86;1;0
30927;Unique & Charming small 1br Apt. LES;120335;Cs;Manhattan;Lower East Side;Entire home/apt;105;3;32;14/06/2019;0.29;1;16
31130;Most Central Location!;117287;Lara;Manhattan;Hell's Kitchen;Private room;130;2;50;26/05/2019;0.45;3;234
31555;Luminous Beautiful West Village Studio;135619;Tom;Manhattan;West Village;Entire home/apt;115;29;26;01/07/2019;0.25;1;12
31902;Sanctuary in East Flatbush;137292;Sunder;Brooklyn;Flatlands;Private room;77;2;2;01/01/2019;0.02;1;178
31994;Room with En Suite Bathroom & Deck;137814;Waldemar;Brooklyn;Clinton Hill;Private room;76;2;426;24/06/2019;3.89;3;275
32023;FLAT MACDONOUGH;137974;Khem;Brooklyn;Bedford-Stuyvesant;Entire home/apt;125;3;227;23/06/2019;2.09;2;163
32037;Huge Private  Floor at The Waverly;116599;Sahr;Brooklyn;Clinton Hill;Private room;135;4;84;01/07/2019;0.77;3;365
32100;Modern Greenpoint, Brooklyn Apt;138579;Ali+Scott;Brooklyn;Greenpoint;Entire home/apt;250;29;3;30/07/2017;0.03;1;34
32289;Sun-drenched, artsy modernist 1 BDRM duplex;139612;Elisabeth;Brooklyn;Williamsburg;Entire home/apt;199;3;10;11/06/2018;0.10;1;280
32331;Sunny, Cobble Hill Apartment;139874;Sarah;Brooklyn;Cobble Hill;Entire home/apt;140;2;4;24/04/2016;0.04;1;0
32363;Fully Furnished Basement Apartment;140025;Fredah;Queens;Flushing;Private room;140;2;1;19/09/2011;0.01;1;1
32965;FLAT MACDONOUGH GARDEN;137974;Khem;Brooklyn;Bedford-Stuyvesant;Entire home/apt;115;3;124;20/06/2019;1.72;2;170
32969;Light filled Williamsburg Apartment;142833;Katherine;Brooklyn;Williamsburg;Entire home/apt;160;3;11;02/07/2019;0.11;1;188
33009;Retreat in Williamsburg;143027;Ming;Brooklyn;Williamsburg;Entire home/apt;195;4;240;17/06/2019;2.19;1;214
33014;NYC Zen;143048;Paula;Manhattan;East Village;Entire home/apt;195;3;30;17/06/2019;0.28;1;248
33223;Cozy BR in Wiliamsburg 3 Bedroom;72014;Lulú;Brooklyn;Williamsburg;Private room;80;3;200;22/06/2019;1.86;4;262
34760;Sunny Room in Old Historical Brooklyn Townhouse;149929;Obed;Brooklyn;Fort Greene;Private room;44;8;27;29/06/2019;1.05;5;280
35526;Sun Filled Classic West Village Apt;120291;Karen;Manhattan;West Village;Private room;156;4;79;22/06/2019;0.74;1;307
36121;Lg Rm in Historic Prospect Heights;62165;Michael;Brooklyn;Prospect Heights;Private room;85;15;9;10/05/2013;0.09;1;339
36133;Classic Artist Loft Williamsburg;142684;White;Brooklyn;Williamsburg;Private room;125;3;155;13/06/2019;1.61;1;1
36442;Great location. Spacious on PROSPECT PARK;137432;Paz;Brooklyn;Prospect Heights;Entire home/apt;115;15;4;27/08/2018;0.05;1;269
36647;Private Bdrm/Bathrm. New! Elevator!;157798;Irene;Manhattan;East Harlem;Private room;69;2;34;29/05/2017;0.32;1;10
36703;Sunny, clean 1 bdrm in W. Village;158284;Karene;Manhattan;West Village;Entire home/apt;225;45;134;31/03/2019;1.24;1;312
36934;Great location in Williamsburg;159370;Viviana;Brooklyn;Williamsburg;Entire home/apt;125;6;27;27/12/2018;0.25;1;189
38638;Light and Airy Upper East Side 1 BDR apartment;92788;Sara;Manhattan;Upper East Side;Entire home/apt;219;4;126;26/06/2019;1.16;2;290
38663;Luxury Brownstone in Boerum Hill;165789;Sarah;Brooklyn;Boerum Hill;Entire home/apt;475;3;23;31/12/2018;0.27;1;230
39267;CENTRAL PARK LOFT all for YOU;168417;Marie;Manhattan;Upper East Side;Entire home/apt;99;1;234;08/06/2019;2.60;2;164
39282;Indie-Chic Share In Williamsburg;168525;Gus;Brooklyn;Williamsburg;Private room;69;4;202;28/05/2019;1.86;2;53
39593;A room w/ a Manhattan view, longer stay;110506;Myung;Queens;Sunnyside;Private room;79;30;28;12/04/2019;0.26;1;126
39704;Private, Large & Sunny 1BR w/W&D;170510;Renée;Brooklyn;Bedford-Stuyvesant;Entire home/apt;135;2;309;22/06/2019;2.86;2;3
40039;Luxurious Condo in DUBMO with View;171851;Henry;Brooklyn;DUMBO;Private room;250;3;14;25/04/2011;0.13;1;189
40453;Charming & Cozy midtown loft any WEEK ENDS  !!!;174025;Sylvia;Manhattan;Upper East Side;Entire home/apt;250;3;4;23/09/2016;0.08;1;365
41348;* Spacious GARDEN Park Slope Duplex* 6 people max;180083;Syl;Brooklyn;Gowanus;Entire home/apt;250;2;80;06/07/2019;2.17;1;0
41513;Convenient cozy cheap apt Manhattan;181167;Lorenzo;Manhattan;Harlem;Entire home/apt;80;3;2;02/11/2015;0.04;1;0
42580;Parlor Room In Victorian Townhouse;137814;Waldemar;Brooklyn;Clinton Hill;Private room;70;2;294;24/06/2019;3.47;3;336
42729;House On Henry (2nd FLR Suite);11481;Annette;Brooklyn;Carroll Gardens;Entire home/apt;165;2;150;18/06/2019;1.40;3;342
42882;New York room with a view;185978;Newyorkroomwithaview;Staten Island;St. George;Private room;70;2;166;13/06/2019;1.66;1;312
43957;Sunny cozy room in Brklyn townhouse;177536;Tessa;Brooklyn;Bushwick;Private room;50;2;47;19/06/2019;0.94;1;37
44096;Room with a View;190409;Waundell;Bronx;Highbridge;Private room;40;1;219;04/07/2019;2.04;3;353
44161;Light+Open+Airy+Rustic+Modern Loft;193360;Young;Brooklyn;Williamsburg;Entire home/apt;150;2;193;06/07/2016;1.78;1;177
44212;West Inn 2 - East Village;72062;Bruce;Manhattan;East Village;Private room;125;1;84;23/06/2019;0.78;4;310
44221;Financial District Luxury Loft;193722;Coral;Manhattan;Financial District;Entire home/apt;196;3;114;20/06/2019;1.06;1;0
44229;BROOKLYN VICTORIAN STYLE SUITE.....;181376;Carol;Brooklyn;Fort Greene;Private room;110;2;213;24/06/2019;2.00;2;321
44288;Your own Lovely West Village Studio;193637;Sara;Manhattan;West Village;Entire home/apt;170;3;86;01/06/2019;0.80;1;246
44506;ACCOMMODATIONS GALORE#3. 1-5 GUESTS;126607;Laurine;Manhattan;Harlem;Entire home/apt;165;3;80;26/05/2019;0.75;3;231
45393;Greenwich Village Stylish Apartment;201297;Myrna;Manhattan;West Village;Entire home/apt;150;26;38;20/04/2016;0.36;1;225
45542;Clean and Cozy Harlem Apartment;202249;Campbell;Manhattan;Harlem;Entire home/apt;100;2;18;17/12/2018;1.79;1;0
45556;Fort Greene, Brooklyn: Center Bedroom;67778;Doug;Brooklyn;Fort Greene;Private room;65;2;206;30/06/2019;1.92;2;0
45910;Beautiful Queens Brownstone! - 5BR;204539;Mark;Queens;Ridgewood;Entire home/apt;350;8;10;12/05/2019;0.11;5;365
45936;Couldn't Be Closer To Columbia Uni;867225;Rahul;Manhattan;Morningside Heights;Private room;99;4;122;14/05/2019;1.18;2;233
45940;Bright Spacious Luxury Condo;204724;Miyoung;Brooklyn;Williamsburg;Entire home/apt;200;4;33;08/04/2019;0.58;1;1
46544;Park Slope haven 15 mins from Soho;8198;Monica;Brooklyn;Park Slope;Entire home/apt;150;5;52;05/06/2019;0.50;1;18
46723;SAFE  AND BEAUTIFUL ACCOMODATION;209460;Marylyn;Brooklyn;Bedford-Stuyvesant;Private room;90;3;126;19/05/2019;1.17;4;343
46911;Large Room in private Brownstone in Park Slope;210746;Kathleen R.;Brooklyn;Prospect Heights;Private room;120;3;51;24/06/2019;0.48;3;250
47199;NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO);212722;Teresa;Manhattan;Upper East Side;Private room;75;3;199;24/06/2019;1.85;1;326
47362;LARGE, COMFY 1BDR W/CHARACTER!!!;214148;Robert;Brooklyn;Bedford-Stuyvesant;Entire home/apt;175;26;30;03/09/2012;0.29;1;364
47370;Chelsea Studio sublet 1 - 2 months;214287;Alex;Manhattan;Chelsea;Entire home/apt;125;3;3;17/07/2015;0.03;1;0
47926;LUX APT IN TIMES SQUARE NEW BUILDING;218404;;Manhattan;Hell's Kitchen;Entire home/apt;275;1;41;26/06/2019;0.38;1;299
48719;Designer 1 BR Duplex w/ Terrace- Spectacular Views;221873;Shane;Manhattan;Lower East Side;Entire home/apt;299;2;109;15/06/2019;1.04;1;207
50447;Lovely Apt & Garden;;;;;;;;;;;;
51438;1 Bedroom in 2 Bdrm Apt- Upper East;236421;Jessica;Manhattan;Upper East Side;Private room;130;14;0;;;2;0
51485;Lower East Side $57~/night;236655;Erina;Manhattan;Lower East Side;Private room;83;1;285;22/06/2019;2.69;1;7
51572;Prime Location in Manhattan;237329;Lee;Manhattan;Chelsea;Private room;123;1;375;18/06/2019;3.52;1;328
